id,name,slug,data_type,form_type,meta_data,for_crypto,for_brokers,for_props,required,position,default_language,option_category_id,created_at,updated_at
71,"Prop  to Prop Transfer",prop_to_prop_transfer,boolean,checkbox,NULL,0,0,1,0,1,en,8,NULL,NULL
72,"Regulatory Deposit Insurance",regulatory_deposit_insurance,boolean,checkbox,NULL,1,1,1,0,1,en,8,NULL,NULL
73,"Negative Balance Protection",negative_balance_protection,boolean,checkbox,NULL,1,1,1,0,1,en,8,NULL,NULL
74,"Segregated Accounts",segregated_accounts,boolean,checkbox,NULL,1,1,1,0,1,en,8,NULL,NULL
75,"Crypto Rebates",crypto_rebates,boolean,checkbox,NULL,1,1,1,0,1,en,8,NULL,NULL
76,Public,public,boolean,checkbox,NULL,1,1,1,0,1,en,10,NULL,NULL
77,"Visible in User`s Portal",visible_in_user_portal,boolean,checkbox,NULL,1,1,1,0,1,en,10,NULL,NULL
78,"New Broker",new_broker,boolean,checkbox,NULL,1,1,1,0,1,en,10,NULL,NULL
79,"Public Live URL",public_live_url,boolean,checkbox,NULL,1,1,1,0,1,en,10,NULL,NULL
80,Path,path,string,string,NULL,1,1,1,0,1,en,11,NULL,NULL
81,"Language for Marketing",language_for_marketing,string,string,NULL,1,1,1,0,1,en,11,NULL,NULL
82,URI,uri,string,string,NULL,1,1,1,0,1,en,11,NULL,NULL
83,Title,title,string,string,NULL,1,1,1,0,1,en,11,NULL,NULL
84,Description,description,text,textarea,NULL,1,1,1,0,1,en,11,NULL,NULL
85,Keywords,keywords,text,string,NULL,1,1,1,0,1,en,11,NULL,NULL
86,"Support Languages","support_languages ",string,string,NULL,1,1,1,1,1,en,4,NULL,NULL
87,"24h Support",24h_support,boolean,checkbox,NULL,1,1,1,0,1,en,4,NULL,NULL
88,"Contact page URL",contact_page_url,string,string,NULL,1,1,1,0,1,en,4,NULL,NULL
89,"Accept American clients",accept_american_clients,boolean,checkbox,NULL,1,1,1,0,1,en,4,NULL,NULL
90,"Accept Japanese Clients",accept_japanese_clients,boolean,checkbox,NULL,1,1,1,0,1,en,4,NULL,NULL
91,"Accept European Clients",accept_european_clients,boolean,checkbox,NULL,1,1,1,0,1,en,4,NULL,NULL
92,"Accept Canadian Clients",accept_canadian_clients,boolean,checkbox,NULL,1,1,1,0,1,en,4,NULL,NULL
93,"Accept Asian Clients",accept_asian_clients,boolean,checkbox,NULL,1,1,1,0,1,en,4,NULL,NULL
94,"Accept British Clients",accept_british_clients,boolean,checkbox,NULL,1,1,1,0,1,en,4,NULL,NULL
95,"Accept Russian Clients",accept_russian_clients,boolean,checkbox,NULL,1,1,1,0,1,en,4,NULL,NULL
96,"Demo Trading Account URL",demo_trading_account_URL,string,string,NULL,1,1,1,0,1,en,1,NULL,NULL
