id,name,slug,applicable_for,data_type,form_type,is_public,tooltip,metadata,for_crypto,for_brokers,for_props,required,position,default_language,option_category_id,dropdown_category_id,placeholder,created_at,updated_at
43,Challenge Payment Fee Options,payment_fee_option,broker,string,multiple_select,1,NULL,NULL,0,0,1,1,1,en,2,NULL,,NULL,NULL
44,Payment Options for Profit Share (Funded Accounts),payment_options_for_profit_share,broker,string,multiple_select,1,NULL,NULL,0,0,1,1,1,en,2,NULL,,NULL,NULL
45,Promotion Title,promotion_title,promotion,string,string,1,NULL,NULL,1,1,1,0,1,en,4,NULL,,NULL,NULL
46,Promotion Details,promotion_details,promotion,text,textarea,1,NULL,NULL,1,1,1,0,1,en,4,NULL,,NULL,NULL
47,Promotion Banner,promotion_banner,promotion,string,image,1,NULL,NULL,1,1,1,0,1,en,4,NULL,,NULL,NULL
48,Promotion Link,promotion_link,promotion,string,url,1,NULL,NULL,1,1,1,0,1,en,4,NULL,,NULL,NULL
49,Contest Title,contest_title,contest,string,string,1,NULL,NULL,1,1,1,0,1,en,5,NULL,,NULL,NULL
50,Contest Details,contest_details,contest,text,textarea,1,NULL,NULL,1,1,1,0,1,en,5,NULL,,NULL,NULL
51,Contest Banner,contest_banner,contest,string,image,1,NULL,NULL,1,1,1,0,1,en,5,NULL,,NULL,NULL
52,Contest Link,contest_link,contest,text,url,1,NULL,NULL,1,1,1,0,1,en,5,NULL,,NULL,NULL
53,IB Commission Structure,ib_comission_structure,broker,string,single_select,0,NULL,NULL,1,1,1,1,1,en,1,NULL,,NULL,NULL
54,IB Payment Options,ib_payment_options,broker,string,multiple_select,1,NULL,NULL,1,1,1,1,1,en,1,NULL,,NULL,NULL
55,Rebate Notes,rebate_notes,broker,text,notes,1,NULL,NULL,1,1,1,0,1,en,8,NULL,,NULL,NULL
56,General Account Setup Notes,general_ac_setup_notes,broker,text,notes,1,NULL,NULL,1,1,0,0,1,en,8,NULL,,NULL,NULL
57,Transfer an Existing Account Notes,transfer_ac_notes,broker,text,notes,1,NULL,NULL,1,1,0,0,1,en,8,NULL,,NULL,NULL
58,Become a SUB-IB Notes,sub_ib_notes,broker,text,notes,1,NULL,NULL,1,1,0,0,1,en,8,NULL,,NULL,NULL
59,Account Type Name,account_type_name,account_type,string,string,1,NULL,NULL,1,1,1,1,1,en,6,NULL,,NULL,NULL
60,Orders Execution Model,execution_model,account_type,string,multiple_select,1,NULL,NULL,1,1,1,0,1,en,6,NULL,,NULL,NULL
